iter	Passed	Remaining
718	1059	413
719	1060	412
720	1060	410
721	1064	409
722	1065	408
723	1067	407
724	1069	405
725	1071	404
726	1072	402
727	1073	401
728	1074	399
729	1075	397
730	1079	397
731	1080	395
732	1080	393
733	1081	392
734	1082	390
735	1083	388
736	1084	387
737	1085	385
738	1086	383
739	1087	382
740	1088	380
741	1089	378
742	1089	376
743	1090	375
744	1093	374
745	1094	372
746	1095	371
747	1096	369
748	1097	367
749	1098	366
750	1099	364
751	1100	363
752	1101	361
753	1102	359
754	1103	358
755	1104	356
756	1105	354
757	1107	353
758	1108	351
759	1109	350
760	1110	348
761	1111	347
762	1112	345
763	1113	343
764	1114	342
765	1114	340
766	1115	338
767	1116	337
768	1117	335
769	1118	334
770	1119	332
771	1120	331
772	1122	329
773	1123	327
774	1124	326
775	1124	324
776	1125	323
777	1126	321
778	1127	319
779	1128	318
780	1129	316
781	1130	315
782	1131	313
783	1132	312
784	1133	310
785	1135	309
786	1136	307
787	1137	306
788	1138	304
789	1139	302
790	1140	301
791	1141	299
792	1142	298
793	1143	296
794	1144	294
795	1144	293
796	1145	291
797	1146	290
798	1147	288
799	1148	287
800	1151	285
801	1152	284
802	1153	282
803	1153	281
804	1154	279
805	1155	278
806	1156	276
807	1157	275
808	1158	273
809	1159	271
810	1160	270
811	1161	268
812	1162	267
813	1163	265
814	1166	264
815	1167	263
816	1168	261
817	1169	260
818	1170	258
819	1171	257
820	1172	255
821	1173	254
822	1174	252
823	1175	251
824	1176	249
825	1177	247
826	1177	246
827	1180	245
828	1181	243
829	1182	242
830	1183	240
831	1184	239
832	1186	237
833	1187	236
834	1188	234
835	1189	233
836	1190	231
837	1190	230
838	1191	228
839	1192	227
840	1195	225
841	1196	224
842	1197	222
843	1197	221
844	1198	219
845	1199	218
846	1200	216
847	1201	215
848	1202	213
849	1203	212
850	1204	210
851	1205	209
852	1206	207
853	1207	206
854	1210	205
855	1211	203
856	1212	202
857	1212	200
858	1213	199
859	1214	197
860	1215	196
861	1216	194
862	1217	193
863	1218	191
864	1219	190
865	1220	188
866	1221	187
867	1222	185
868	1224	184
869	1225	183
870	1227	181
871	1228	180
872	1229	178
873	1230	177
874	1231	175
875	1232	174
876	1233	172
877	1234	171
878	1234	170
879	1235	168
880	1236	167
881	1239	165
882	1240	164
883	1241	162
884	1242	161
885	1243	159
886	1244	158
887	1245	157
888	1246	155
889	1246	154
890	1247	152
891	1248	151
892	1249	149
893	1250	148
894	1251	146
895	1253	145
896	1254	144
897	1255	142
898	1256	141
899	1257	139
900	1258	138
901	1259	136
902	1260	135
903	1261	133
904	1262	132
905	1263	131
906	1264	129
907	1264	128
908	1267	126
909	1268	125
910	1269	124
911	1270	122
912	1272	121
913	1273	119
914	1274	118
915	1275	116
916	1276	115
917	1277	114
918	1277	112
919	1278	111
920	1279	109
921	1282	108
922	1283	107
923	1284	105
924	1285	104
925	1286	102
926	1287	101
927	1288	99
928	1288	98
929	1289	97
930	1290	95
931	1291	94
932	1293	92
933	1293	91
934	1296	90
935	1297	88
936	1298	87
937	1299	85
938	1300	84
939	1301	83
940	1301	81
941	1302	80
942	1303	78
943	1304	77
944	1305	75
945	1306	74
946	1307	73
947	1308	71
948	1310	70
949	1312	69
950	1313	67
951	1314	66
952	1314	64
953	1315	63
954	1316	62
955	1317	60
956	1318	59
957	1319	57
958	1320	56
959	1321	55
960	1322	53
961	1323	52
962	1326	50
963	1327	49
964	1328	48
965	1328	46
966	1329	45
967	1330	43
968	1331	42
969	1332	41
970	1333	39
971	1334	38
972	1335	37
973	1337	35
974	1338	34
975	1341	32
976	1341	31
977	1342	30
